Demo data loaded with 94 length.
params: {'n_skills': 5, 'mem_size': 1000000, 'interval': 100, 'do_train': True, 'train_from_scratch': False, 'seed': 42, 'batch_size': 256, 'n_hiddens': 256, 'lr': 0.001, 'reward_scale': 0.01, 'MI_scale': 1000, 'alpha': 0.1, 'gamma': 0.99, 'tau': 0.005, 'max_n_episodes': 300, 'action_bounds': [-0.005, 0.005], 'epoch_length': 1, 'train_interval': 1, 'n_states': 9, 'n_actions': 8, 'n_object_states': 6, 'episode_length': 94}
Keep training from previous MI estimator.
  0%|                                                                                                                            | 0/300 [00:00<?, ?it/s]/home/gentlebear/Mres/DIAYN-PyTorch/Brain/agent.py:79: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:245.)
  action = torch.Tensor([action]).to("cpu")
Episode 1, logq_z: -2.258951425552368, logmi: 1.2814998626708984e-05
Episode 173, logq_z: -1.5614842176437378, logmi: -0.0002431261818856001
Episode 174, logq_z: -1.576621651649475, logmi: -0.000282293651252985
Episode 175, logq_z: -1.5848060846328735, logmi: -0.00031711021438241005
Episode 176, logq_z: -1.5730416774749756, logmi: -0.0005831590387970209
Episode 177, logq_z: -1.5481661558151245, logmi: -0.00033355015330016613
Episode 178, logq_z: -1.5934414863586426, logmi: -0.0005933467764407396
Episode 179, logq_z: -1.573688268661499, logmi: -0.0004257622640579939
Episode 180, logq_z: -1.6087963581085205, logmi: -0.00026466185227036476
Episode 181, logq_z: -1.5836526155471802, logmi: -0.00029531423933804035
Episode 182, logq_z: -1.5983328819274902, logmi: -0.0003204471431672573
Episode 183, logq_z: -1.6064703464508057, logmi: -0.00048469542525708675
Episode 184, logq_z: -1.5825673341751099, logmi: -0.0002452821936458349
Episode 185, logq_z: -1.5802302360534668, logmi: -0.0003582544159144163
Episode 186, logq_z: -1.5759682655334473, logmi: -0.000632185023277998
Episode 187, logq_z: -1.5592938661575317, logmi: -0.00035784277133643627
Episode 188, logq_z: -1.6061443090438843, logmi: -0.0003752678167074919
Episode 189, logq_z: -1.5739104747772217, logmi: -0.000521654961630702
Episode 190, logq_z: -1.5952353477478027, logmi: -0.0003844827879220247
Episode 191, logq_z: -1.5894173383712769, logmi: -0.0003695203922688961
Episode 192, logq_z: -1.5724605321884155, logmi: -0.0005616613198071718
Episode 193, logq_z: -1.567642331123352, logmi: -0.0005554892122745514
Episode 194, logq_z: -1.5593630075454712, logmi: -0.0002946422901004553
Episode 195, logq_z: -1.5914311408996582, logmi: -9.309779852628708e-05
Episode 196, logq_z: -1.5728719234466553, logmi: -0.0005884130951017141
Episode 197, logq_z: -1.5660536289215088, logmi: -0.0007890104316174984
Episode 198, logq_z: -1.5724090337753296, logmi: -0.0005994094535708427
Episode 199, logq_z: -1.604246735572815, logmi: -0.0006804305594414473
Policy saved at ./checkpoints/joint_policy_200_2025-06-23-21-02-38.pt
Episode 200, logq_z: -1.762770652770996, logmi: 5.78761100769043e-05
Episode 201, logq_z: -1.3481899499893188, logmi: 0.0008448702283203602
Episode 202, logq_z: -1.5436381101608276, logmi: 0.0006201232317835093
Episode 203, logq_z: -1.4212167263031006, logmi: -0.002065641339868307
Episode 204, logq_z: -1.2801858186721802, logmi: -0.0015086722560226917
Episode 205, logq_z: -1.4896056652069092, logmi: -0.0016558715142309666
Episode 206, logq_z: -1.679168462753296, logmi: -0.0012080641463398933
Episode 207, logq_z: -1.7605109214782715, logmi: -0.0010525200050324202
Episode 208, logq_z: -1.8646690845489502, logmi: -0.001153589691966772
Episode 209, logq_z: -1.5754985809326172, logmi: -0.0011919948738068342
Episode 210, logq_z: -1.7775287628173828, logmi: -0.0008461137767881155
Episode 211, logq_z: -1.8704789876937866, logmi: -0.0012290016748011112
Episode 212, logq_z: -1.865469217300415, logmi: -0.0009877807460725307
Episode 213, logq_z: -1.7787007093429565, logmi: -0.0004811384715139866
Episode 214, logq_z: -1.6792341470718384, logmi: -0.0006122002378106117
Episode 215, logq_z: -1.6152291297912598, logmi: -0.0015588782262057066
Episode 216, logq_z: -1.5990216732025146, logmi: -0.0017032038886100054
Episode 217, logq_z: -1.7301498651504517, logmi: -0.000993266236037016
Episode 218, logq_z: -1.9091787338256836, logmi: -0.0011573303490877151
Episode 219, logq_z: -1.895812749862671, logmi: -0.0005693126004189253
Episode 220, logq_z: -1.757781982421875, logmi: -0.0007090226281434298
Episode 221, logq_z: -1.7791935205459595, logmi: -0.000886193010956049
Episode 222, logq_z: -1.6626538038253784, logmi: -0.00016862270422279835
Episode 223, logq_z: -1.6042124032974243, logmi: -0.0005352862644940615
Episode 224, logq_z: -1.536083459854126, logmi: -0.0010816871654242277
Episode 225, logq_z: -1.5040944814682007, logmi: -0.0006366271991282701
Episode 226, logq_z: -1.565956950187683, logmi: -0.0007903280202299356
Episode 227, logq_z: -1.5366644859313965, logmi: -0.00026275659911334515
Episode 228, logq_z: -1.5761513710021973, logmi: -0.0002779343631118536
Episode 229, logq_z: -1.7417855262756348, logmi: -0.0014797814656049013
Episode 230, logq_z: -1.8224902153015137, logmi: -0.0005581988953053951
Episode 231, logq_z: -1.8855915069580078, logmi: -0.0008093547075986862
Episode 232, logq_z: -1.7927899360656738, logmi: -0.00023711472749710083
Episode 233, logq_z: -1.7627768516540527, logmi: -0.0003498098812997341
Episode 234, logq_z: -1.6451313495635986, logmi: -0.0003545356448739767
Episode 235, logq_z: -1.6253571510314941, logmi: -0.0003524299245327711
Episode 236, logq_z: -1.5816422700881958, logmi: -0.00036986637860536575
Episode 237, logq_z: -1.5379304885864258, logmi: -0.0004207643214613199
Episode 238, logq_z: -1.5698387622833252, logmi: -0.0005726588424295187
Episode 239, logq_z: -1.577601671218872, logmi: -0.000458309892565012
Episode 240, logq_z: -1.642531394958496, logmi: -0.000315691577270627
Episode 241, logq_z: -1.6135928630828857, logmi: -0.0004957739729434252
Episode 242, logq_z: -1.5891096591949463, logmi: -0.0008474418427795172
Episode 243, logq_z: -1.5360918045043945, logmi: -0.00014735106378793716
Episode 244, logq_z: -1.487157940864563, logmi: -0.0015773975756019354
Episode 245, logq_z: -1.5519225597381592, logmi: -0.000379796139895916
Episode 246, logq_z: -1.5746749639511108, logmi: -0.00046055298298597336
Episode 247, logq_z: -1.5782703161239624, logmi: -0.0011172241065651178
Episode 248, logq_z: -1.5801328420639038, logmi: -0.001085567520931363
Episode 249, logq_z: -1.5785670280456543, logmi: -0.0007530453149229288
Episode 250, logq_z: -1.5503273010253906, logmi: -0.0019667386077344418
Episode 251, logq_z: -1.5234296321868896, logmi: -0.0009930978994816542
Episode 252, logq_z: -1.5042791366577148, logmi: -0.0003211044240742922
Episode 253, logq_z: -1.5742779970169067, logmi: -0.0003568432293832302
Episode 254, logq_z: -1.4897042512893677, logmi: -0.0008071721531450748
Episode 255, logq_z: -1.535436749458313, logmi: -0.0019204700365662575
Episode 256, logq_z: -1.5701782703399658, logmi: -0.0017953673377633095
Episode 257, logq_z: -1.4797221422195435, logmi: -0.0016612422186881304
Episode 258, logq_z: -1.4884610176086426, logmi: -0.0005934950895607471
Episode 259, logq_z: -1.5139003992080688, logmi: -0.0015279981307685375
Episode 260, logq_z: -1.4556955099105835, logmi: -0.0008225797209888697
Episode 261, logq_z: -1.5562565326690674, logmi: -0.0011309010442346334
Episode 262, logq_z: -1.513203740119934, logmi: -0.0007704815361648798
Episode 263, logq_z: -1.521588683128357, logmi: -0.0009306012652814388
Episode 264, logq_z: -1.5411556959152222, logmi: -0.0011140338610857725
Episode 265, logq_z: -1.5472290515899658, logmi: -0.0006263263057917356
Episode 266, logq_z: -1.5475541353225708, logmi: -0.0008472877088934183
Episode 267, logq_z: -1.5135080814361572, logmi: -0.0006707890424877405
Episode 268, logq_z: -1.5313538312911987, logmi: -0.001770050497725606
Episode 269, logq_z: -1.5120731592178345, logmi: -0.0004870516713708639
Episode 270, logq_z: -1.5599271059036255, logmi: -0.001130715012550354
Episode 271, logq_z: -1.539387583732605, logmi: -0.0014894690830260515
Episode 272, logq_z: -1.5388617515563965, logmi: -0.0010921754874289036
Episode 273, logq_z: -1.5455827713012695, logmi: -0.0004538905341178179
Episode 274, logq_z: -1.5607988834381104, logmi: -0.0014464526902884245
Episode 275, logq_z: -1.5330003499984741, logmi: -0.0012404602020978928
Episode 276, logq_z: -1.550286889076233, logmi: -0.0005034275818616152
Episode 277, logq_z: -1.5392252206802368, logmi: -0.0013901784550398588
Episode 278, logq_z: -1.539581298828125, logmi: -0.0009696916677057743
Episode 279, logq_z: -1.5477169752120972, logmi: -0.0009852154180407524
Episode 280, logq_z: -1.5530474185943604, logmi: -0.0014114361256361008
Episode 281, logq_z: -1.551009178161621, logmi: -0.0016085761599242687
Episode 282, logq_z: -1.5587583780288696, logmi: -0.0012397693935781717
Episode 283, logq_z: -1.5765798091888428, logmi: -0.0006305845454335213
Episode 284, logq_z: -1.506014108657837, logmi: -0.0011483123525977135
Episode 285, logq_z: -1.5430200099945068, logmi: -0.0005977433174848557
Episode 286, logq_z: -1.5358768701553345, logmi: -0.0009861981961876154
Episode 287, logq_z: -1.6056269407272339, logmi: -0.002250896068289876
Episode 288, logq_z: -1.5554277896881104, logmi: -0.0012157585006207228
Episode 289, logq_z: -1.5307048559188843, logmi: -0.0012132339179515839
Episode 290, logq_z: -1.5067404508590698, logmi: 1.7545418813824654e-05
Episode 291, logq_z: -1.5280675888061523, logmi: -0.0013932401780039072
Episode 292, logq_z: -1.559075117111206, logmi: -0.00033219181932508945
Episode 293, logq_z: -1.5571777820587158, logmi: -0.000632511219009757
Episode 294, logq_z: -1.5799411535263062, logmi: -0.0005549599882215261
Episode 295, logq_z: -1.5330137014389038, logmi: -0.0006802435964345932
Episode 296, logq_z: -1.5127688646316528, logmi: -0.001152845798060298
Episode 297, logq_z: -1.5692191123962402, logmi: -0.0008694089483469725
Episode 298, logq_z: -1.5363526344299316, logmi: -0.00047554541379213333
Episode 299, logq_z: -1.5177936553955078, logmi: -0.0011181191075593233
Policy saved at ./checkpoints/joint_policy_300_2025-06-23-21-22-10.pt
Episode 300, logq_z: -1.3231825828552246, logmi: 0.0012290477752685547
